SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
38,01/22/2020,,South Korea,1/22/2020 17:00,1.0,0.0,0.0
76,01/23/2020,,South Korea,1/23/20 17:00,1.0,0.0,0.0
122,01/24/2020,,South Korea,1/24/20 17:00,2.0,0.0,0.0
163,01/25/2020,,South Korea,1/25/20 17:00,2.0,0.0,0.0
209,01/26/2020,,South Korea,1/26/20 16:00,3.0,0.0,0.0
256,01/27/2020,,South Korea,1/27/20 23:59,4.0,0.0,0.0
307,01/28/2020,,South Korea,1/28/20 23:00,4.0,0.0,0.0
359,01/29/2020,,South Korea,1/29/20 19:30,4.0,0.0,0.0
414,01/30/2020,,South Korea,1/30/20 16:00,4.0,0.0,0.0
469,01/31/2020,,South Korea,1/31/2020 23:59,11.0,0.0,0.0
527,02/01/2020,,South Korea,2/1/2020 10:43,12.0,0.0,0.0
594,02/02/2020,,South Korea,2020-02-02T02:23:13,15.0,0.0,0.0
661,02/03/2020,,South Korea,2020-02-02T02:23:13,15.0,0.0,0.0
729,02/04/2020,,South Korea,2020-02-04T15:33:03,16.0,0.0,0.0
799,02/05/2020,,South Korea,2020-02-05T15:33:01,19.0,0.0,0.0
870,02/06/2020,,South Korea,2020-02-06T02:53:03,23.0,0.0,0.0
942,02/07/2020,,South Korea,2020-02-07T03:03:03,24.0,0.0,1.0
1014,02/08/2020,,South Korea,2020-02-07T03:03:03,24.0,0.0,1.0
1086,02/09/2020,,South Korea,2020-02-09T02:33:02,25.0,0.0,3.0
1157,02/10/2020,,South Korea,2020-02-10T03:03:09,27.0,0.0,3.0
1229,02/11/2020,,South Korea,2020-02-11T02:53:02,28.0,0.0,3.0
1303,02/12/2020,,South Korea,2020-02-12T14:43:03,28.0,0.0,7.0
1376,02/13/2020,,South Korea,2020-02-12T14:43:03,28.0,0.0,7.0
1450,02/14/2020,,South Korea,2020-02-12T14:43:03,28.0,0.0,7.0
1525,02/15/2020,,South Korea,2020-02-15T23:33:02,28.0,0.0,9.0
1600,02/16/2020,,South Korea,2020-02-16T01:33:02,29.0,0.0,9.0
1675,02/17/2020,,South Korea,2020-02-17T23:43:01,30.0,0.0,10.0
1750,02/18/2020,,South Korea,2020-02-18T03:43:02,31.0,0.0,12.0
1825,02/19/2020,,South Korea,2020-02-18T03:43:02,31.0,0.0,12.0
1892,02/20/2020,,South Korea,2020-02-20T09:53:02,104.0,1.0,16.0
1962,02/21/2020,,South Korea,2020-02-21T13:43:02,204.0,2.0,16.0
2040,02/22/2020,,South Korea,2020-02-22T08:33:02,433.0,2.0,16.0
