SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
5595,03/14/2020,,Venezuela,2020-03-14T12:53:07,2.0,0.0,0.0
5803,03/15/2020,,Venezuela,2020-03-15T18:20:18,10.0,0.0,0.0
6054,03/16/2020,,Venezuela,2020-03-16T00:53:03,17.0,0.0,0.0
6306,03/17/2020,,Venezuela,2020-03-17T11:33:05,33.0,0.0,0.0
6586,03/18/2020,,Venezuela,2020-03-18T11:33:04,36.0,0.0,0.0
6881,03/19/2020,,Venezuela,2020-03-19T20:13:34,42.0,0.0,0.0
7184,03/20/2020,,Venezuela,2020-03-19T20:13:34,42.0,0.0,0.0
7468,03/21/2020,,Venezuela,2020-03-21T20:43:03,70.0,0.0,0.0
7776,03/22/2020,,Venezuela,3/8/20 5:31,70.0,0.0,15.0
8074,03/23/2020,,Venezuela,2020-03-23 23:23:20,77.0,0.0,15.0
8371,03/24/2020,,Venezuela,2020-03-24 23:41:50,84.0,0.0,15.0
8673,03/25/2020,,Venezuela,2020-03-25 23:37:49,91.0,0.0,15.0
8976,03/26/2020,,Venezuela,2020-03-26 23:53:24,107.0,0.0,15.0
9283,03/27/2020,,Venezuela,2020-03-27 23:27:48,107.0,1.0,31.0
9591,03/28/2020,,Venezuela,3/8/20 5:31,119.0,2.0,39.0
9902,03/29/2020,,Venezuela,3/8/20 5:31,119.0,2.0,39.0
10214,03/30/2020,,Venezuela,3/8/20 5:31,135.0,3.0,39.0
10528,03/31/2020,,Venezuela,2020-03-31 23:49:27,135.0,3.0,39.0
10841,04/01/2020,,Venezuela,2020-04-01 22:04:58,143.0,3.0,41.0
11155,04/02/2020,,Venezuela,4/2/20 8:53,146.0,5.0,43.0
11470,04/03/2020,,Venezuela,2020-04-03 22:52:45,153.0,7.0,52.0
11785,04/04/2020,,Venezuela,4/4/20 9:38,155.0,7.0,52.0
12102,04/05/2020,,Venezuela,2020-04-05 23:13:44,159.0,7.0,52.0
12422,04/06/2020,,Venezuela,4/6/20 9:37,165.0,7.0,65.0
12742,04/07/2020,,Venezuela,2020-04-07 23:11:31,165.0,7.0,65.0
13062,04/08/2020,,Venezuela,2020-04-08 22:59:00,167.0,9.0,65.0
13382,04/09/2020,,Venezuela,2020-04-09 23:09:19,171.0,9.0,84.0
13702,04/10/2020,,Venezuela,2020-04-10 23:01:43,171.0,9.0,84.0
14023,04/11/2020,,Venezuela,2020-04-11 22:52:46,175.0,9.0,93.0
14344,04/12/2020,,Venezuela,2020-04-12 23:25:00,181.0,9.0,93.0
14664,04/13/2020,,Venezuela,2020-04-13 23:15:42,189.0,9.0,110.0
14984,04/14/2020,,Venezuela,2020-04-14 23:41:11,189.0,9.0,110.0
15304,04/15/2020,,Venezuela,2020-04-15 23:04:26,197.0,9.0,111.0
15624,04/16/2020,,Venezuela,2020-04-16 23:38:19,204.0,9.0,111.0
15944,04/17/2020,,Venezuela,2020-04-17 23:38:48,204.0,9.0,111.0
16264,04/18/2020,,Venezuela,2020-04-18 22:40:18,227.0,9.0,113.0
16584,04/19/2020,,Venezuela,2020-04-19 23:49:05,256.0,9.0,117.0
16904,04/20/2020,,Venezuela,2020-04-20 23:44:50,256.0,9.0,117.0
17224,04/21/2020,,Venezuela,2020-04-21 23:39:09,285.0,10.0,117.0
17544,04/22/2020,,Venezuela,2020-04-22 23:38:57,288.0,10.0,122.0
17863,04/23/2020,,Venezuela,2020-04-24 03:31:35,311.0,10.0,126.0
18183,04/24/2020,,Venezuela,2020-04-25 06:31:19,318.0,10.0,132.0
18502,04/25/2020,,Venezuela,2020-04-26 02:31:18,323.0,10.0,132.0
18821,04/26/2020,,Venezuela,2020-04-27 02:31:20,325.0,10.0,137.0
